,Country,Mortality_rate,Cases_per_ML,Deaths_per_ML,Recovered_per_ML,Active_per_ML,Critical_per_ML,Tests_per_ML,Clust_mem
40,Israel,0.008132991,5467.627933,44.46817047,2356.595586,3066.564176,27.39848156,158433.133,0
41,Portugal,0.034727362,4770.51298,165.6673333,3273.033301,1331.812346,5.983248865,138646.491,0
42,Singapore,0.000563533,8186.521185,4.613376022,7532.788716,649.1190929,0,172494.4712,0
43,Poland,0.040494714,1059.706385,42.91250671,800.4345156,216.3593626,1.770405141,51180.2723,0
44,Guatemala,0.038404841,2156.592955,82.82361025,1303.147241,770.6221029,0.278867375,3602.408745,0
45,Romania,0.054087244,1947.828178,105.3526587,1176.091353,666.3841662,14.87209298,49848.65565,0
46,Nigeria,0.021520334,177.6822359,3.823781036,73.20432516,100.6541297,0.033924547,1028.403244,0
48,Afghanistan,0.03329105,910.4599413,30.31016746,606.5626569,273.587117,0.795609815,2149.968703,0
51,Honduras,0.027170433,3308.574265,89.89539445,369.3681696,2849.310701,5.145527628,7952.866967,0
52,Ghana,0.005349333,889.6214708,4.758881617,747.5624237,137.3001656,0.257236844,11157.32657,0
53,Azerbaijan,0.012862905,2713.164997,34.89918277,1869.866665,808.3991489,6.506627296,61899.81292,0
54,Kyrgyzstan,0.037803407,4063.786686,153.6249829,1888.224117,2021.937586,3.675971674,40266.28739,0
56,Japan,0.039972405,194.8663988,7.789278584,154.8049924,32.27212782,0.340039573,5021.490896,0
58,Moldova,0.032602479,5201.479223,169.5811148,3564.178518,1467.71959,89.74906954,31753.31997,0
59,Serbia,0.022590217,2391.854005,54.03250169,1608.039304,729.7821998,21.40694453,62972.01883,0
60,Austria,0.036174002,2181.727766,78.92182355,1953.509385,149.2965579,1.554016216,83103.12618,0
61,Nepal,0.002265262,605.571214,1.371777583,401.0734708,203.1259656,0,21535.94781,0
62,Morocco,0.015838942,466.7125581,7.392233021,404.0275052,55.29281989,0.839411076,27330.30398,0
63,Uzbekistan,0.005118324,495.8669888,2.538007711,274.0451149,219.2838662,2.090123997,41143.04582,0
64,Cameroon,0.023085969,608.0510978,14.03744875,516.6383283,77.37532074,1.956963365,5080.577967,0
65,Ivory Coast,0.006516042,534.730842,3.484328739,316.8466764,214.3998369,0,3171.988966,0
66,Czechia,0.025743994,1302.055249,33.52010286,818.021229,450.5139173,1.774044441,58336.18348,0
